Index,Player,Team,Position,KDA,Kill,Death,Assist,MVP,Appearances,Wins,Teamfight Participation Rate,Kills,Average Kills per Game,Assists,Average Assists per Game,Deaths,Average Deaths per Game,Gold per Minute,Creep Score per Minute,Damage per Minute,Damage Share,Damage Taken per Minute,Damage Taken Share,Wards Placed per Minute,Wards Cleared per Minute
18,Aiming,DK,ADC,4.8,5,2,4.6,0,9,3,0.769,45,5,42,4.6,18,2,450,10.4,652.7,0.298,457.7,0.134,0.3,0.3
19,Inspired,FLY,JUG,4.7,1,2,8.6,0,14,7,0.777,15,1,121,8.6,29,2,338.3,6.6,345.1,0.149,933.7,0.28,0.2,0.3
20,Yike,G2,JUG,4.5,3.1,2.3,7.6,1,8,3,0.754,25,3.1,61,7.6,19,2.3,360.6,6.6,421.6,0.187,1019.3,0.279,0.6,0.4
21,Easylove,GAM,ADC,4.4,3.8,2,5.2,0,12,7,0.644,46,3.8,63,5.2,25,2,425.8,9.9,577.8,0.245,409.5,0.119,0.4,0.2
22,Kiaya,GAM,TOP,4.4,3.8,2,5.4,3,12,7,0.656,46,3.8,65,5.4,25,2,406.4,8.5,646.8,0.274,717.2,0.209,0.5,0.1
23,Tian,TES,JUG,4.4,2,2.2,7.8,0,8,4,0.822,16,2,63,7.8,18,2.2,331,6.3,308,0.135,1041.2,0.325,0.5,0.4
24,Faker,T1,MID,4.4,3.5,2.1,5.7,4,17,13,0.682,60,3.5,97,5.7,36,2.1,405.2,8.6,514.9,0.239,638.9,0.212,0.3,0.3
25,Massu,FLY,ADC,4.4,4.2,2,5,2,14,7,0.737,59,4.2,70,5,29,2,434.2,9.7,655.8,0.283,475.6,0.143,0.3,0.2
26,Bin,BLG,TOP,4.3,3.5,2,5,3,20,13,0.563,71,3.5,101,5,40,2,403,8.4,496.8,0.201,625.8,0.201,0.4,0.1
27,Woody,PSG,SUP,4.2,0.6,2.7,11,1,13,6,0.808,9,0.6,143,11,36,2.7,242.1,1,144,0.058,448.3,0.139,1.9,0.3
28,Elk,BLG,ADC,4.2,4.5,2.5,6,5,20,13,0.695,91,4.5,121,6,51,2.5,447.6,9.8,756.3,0.306,450.6,0.145,0.4,0.3
29,Viper,HLE,ADC,4.2,5.5,2.5,5,3,12,6,0.755,67,5.5,60,5,30,2.5,462.5,10.9,785.8,0.336,447.7,0.136,0.4,0.4
30,Azhi,PSG,TOP,4,2.8,2.3,6.3,1,13,6,0.632,37,2.8,82,6.3,30,2.3,384.8,8.2,582.8,0.237,577.2,0.18,0.4,0.2
31,Elyoya,MDK,JUG,4,2.4,2.6,7.9,2,10,5,0.792,24,2.4,79,7.9,26,2.6,345.9,6.5,336.3,0.143,956.2,0.282,0.3,0.5
32,Emo,GAM,MID,3.9,3,1.9,4.4,1,12,7,0.526,36,3,53,4.4,23,1.9,418.3,9.6,520.7,0.221,678.5,0.198,0.3,0.2
33,WeiWei,LNG,JUG,3.9,2.2,3.2,10.5,1,8,5,0.761,18,2.2,84,10.5,26,3.2,338,6.2,295.7,0.13,983.5,0.295,0.5,0.3
34,TitaN,PNG,ADC,3.8,3.3,2.3,5.4,3,12,5,0.714,40,3.3,65,5.4,28,2.3,430.6,10.1,685.5,0.304,527.5,0.156,0.4,0.3
35,Zika,LNG,TOP,3.8,4.6,3.1,7.1,0,8,5,0.701,37,4.6,57,7.1,25,3.1,436,8.7,553.7,0.244,905,0.271,0.4,0.1
36,UmTi,TL,JUG,3.8,2.4,2.4,6.6,2,10,5,0.692,24,2.4,66,6.6,24,2.4,339.3,6.2,341.2,0.146,1120.4,0.34,0.4,0.3
37,Busio,FLY,SUP,3.7,1,2.5,8,0,14,7,0.731,15,1,113,8,35,2.5,245.9,1.1,162.2,0.07,411.8,0.123,2,0.5
38,BrokenBlade,G2,TOP,3.7,3.3,2.5,5.8,2,8,3,0.649,27,3.3,47,5.8,20,2.5,398.6,8.4,501.4,0.222,849.5,0.233,0.4,0.2
39,Creme,TES,MID,3.6,3.1,2.3,5.3,2,8,4,0.708,25,3.1,43,5.3,19,2.3,389.6,8.5,682,0.299,647.4,0.202,0.4,0.3
40,CoreJJ,TL,SUP,3.6,0.8,2.9,9.7,1,10,5,0.807,8,0.8,97,9.7,29,2.9,248.6,1,167,0.071,418.2,0.126,1.6,0.5
41,Zeka,HLE,MID,3.6,3.7,2.7,6.1,1,12,6,0.708,45,3.7,74,6.1,33,2.7,419.3,9.5,673.1,0.287,678.6,0.207,0.4,0.3
42,Peanut,HLE,JUG,3.6,1,3.2,10.6,1,12,6,0.833,12,1,128,10.6,39,3.2,319.8,5.9,291.3,0.124,959.1,0.293,0.4,0.5
43,Caps,G2,MID,3.6,2.3,2.7,7.5,0,8,3,0.692,19,2.3,60,7.5,22,2.7,404.3,9.2,612,0.271,701.1,0.192,0.2,0.1
44,Supa,MDK,ADC,3.6,5.6,2.8,4.6,1,10,5,0.784,56,5.6,46,4.6,28,2.8,460.2,10.1,833,0.356,469.4,0.138,0.3,0.3
45,Junjia,PSG,JUG,3.5,2.2,2.9,8,1,13,6,0.707,29,2.2,104,8,38,2.9,342.1,6.5,336.2,0.136,1176.1,0.366,0.4,0.4
46,Tarzan,WBG,JUG,3.5,1.6,3,9,1,16,8,0.75,26,1.6,145,9,49,3,315.7,5.6,342.8,0.149,892.8,0.285,0.5,0.3
47,Maple,PSG,MID,3.4,4,2.4,4.3,2,13,6,0.585,53,4,57,4.3,32,2.4,418.9,9.3,637.9,0.259,584,0.182,0.4,0.2
48,JackeyLove,TES,ADC,3.4,4,2.6,5,2,8,4,0.75,32,4,40,5,21,2.6,438.9,10.1,609.2,0.267,389.8,0.121,0.3,0.4
49,Crisp,WBG,SUP,3.4,0.4,3.2,10.6,0,16,8,0.776,7,0.4,170,10.6,52,3.2,244,1.1,161.4,0.07,499.7,0.159,2.3,0.5
50,Breathe,WBG,TOP,3.3,3.8,2.7,5.3,5,16,8,0.64,61,3.8,85,5.3,44,2.7,416.1,8.3,535.7,0.233,764.8,0.244,0.4,0.2
51,Kiin,GEN,TOP,3.3,2.2,2.5,6.1,1,14,8,0.642,31,2.2,86,6.1,35,2.5,379.6,8.3,514.1,0.221,724.1,0.22,0.4,0.1
52,Levi,GAM,JUG,3.2,2.9,2.9,6.5,3,12,7,0.668,35,2.9,78,6.5,35,2.9,374.7,7.1,430,0.182,1123,0.328,0.3,0.4
53,Elio,GAM,SUP,3.2,0.5,3,9,0,12,7,0.68,6,0.5,109,9,36,3,249.5,1.3,176.9,0.075,493.2,0.144,2.1,0.5
54,Delight,HLE,SUP,3.2,0.5,3.2,10,1,12,6,0.75,6,0.5,120,10,39,3.2,242.3,1.3,144.4,0.061,426.6,0.13,1.9,0.5
55,WEI,BLG,JUG,3.1,1,4,11.3,0,3,1,0.822,3,1,34,11.3,12,4,326.7,5.7,439.8,0.175,1034.8,0.319,0.4,0.4
56,Meiko,TES,SUP,3.1,0.3,3.1,9.3,0,8,4,0.812,3,0.3,75,9.3,25,3.1,240.3,1.2,161.2,0.07,463.3,0.144,1.7,0.5
57,369,TES,TOP,3.1,2.5,2.3,4.8,0,8,4,0.614,20,2.5,39,4.8,19,2.3,374.8,8,513,0.225,659.5,0.206,0.3,0.1
58,ShowMaker,DK,MID,3.1,3.5,2.6,4.7,2,9,3,0.663,32,3.5,43,4.7,24,2.6,390.4,8.4,622.7,0.284,607.5,0.177,0.5,0.3
59,Razork,FNC,JUG,3.1,2,3.1,7.8,1,6,2,0.855,12,2,47,7.8,19,3.1,345.8,6.9,423.2,0.192,926.9,0.288,0.3,0.4
60,Hanssama,G2,ADC,3.1,4.7,3.1,4.8,0,8,3,0.675,38,4.7,39,4.8,25,3.1,441.9,9.6,593.7,0.263,474.3,0.13,0.3,0.4
61,Dynquedo,PNG,MID,3,3.5,2.7,4.7,0,12,5,0.673,42,3.5,57,4.7,33,2.7,396,8.6,584.8,0.259,597.4,0.176,0.4,0.2
62,Kuri,PNG,SUP,2.9,0.3,3.1,8.9,1,12,5,0.755,4,0.3,107,8.9,38,3.1,234.6,1.1,206.2,0.091,494.2,0.146,2.1,0.3
63,Jun,FNC,SUP,2.9,0.6,3.1,8.5,0,6,2,0.797,4,0.6,51,8.5,19,3.1,235.4,1,151.2,0.068,463.2,0.143,1.7,0.4
64,Hang,LNG,SUP,2.9,0.6,4.2,11.6,0,8,5,0.731,5,0.6,93,11.6,34,4.2,244.7,1.1,160.2,0.07,461.4,0.138,2,0.5
65,Doran,HLE,TOP,2.9,3.1,3,5.5,0,12,6,0.619,38,3.1,66,5.5,36,3,387.3,8.3,443.6,0.189,759.5,0.232,0.4,0.2
66,Alvaro,MDK,SUP,2.8,0.4,3.6,9.6,1,10,5,0.769,4,0.4,96,9.6,36,3.6,247.1,1.2,163,0.069,582.6,0.171,1.8,0.5
67,Wizer,PNG,TOP,2.7,4,2.7,3.4,0,12,5,0.605,48,4,41,3.4,33,2.7,391.4,8.3,470.4,0.209,742.2,0.219,0.4,0.2
68,ON,BLG,SUP,2.7,0.5,3.7,9.6,0,20,13,0.665,10,0.5,193,9.6,74,3.7,247.5,1.2,148.7,0.06,467.8,0.15,2.2,0.5
69,CarioK,PNG,JUG,2.6,1,3.5,7.9,1,12,5,0.734,13,1,95,7.9,42,3.5,309.4,5.6,302.8,0.134,1017.7,0.301,0.4,0.4
70,Lehends,GEN,SUP,2.5,0.5,3.7,8.8,0,14,8,0.719,7,0.5,124,8.8,53,3.7,240.2,1,170.9,0.073,485.9,0.148,2.1,0.4
71,Impact,TL,TOP,2.5,2.5,2.9,4.7,0,10,5,0.553,25,2.5,47,4.7,29,2.9,384.4,7.7,467.1,0.201,758.6,0.23,0.4,0.1
72,APA,TL,MID,2.4,3.5,3.2,4.2,1,10,5,0.592,35,3.5,42,4.2,32,3.2,413.9,9,610.8,0.263,532.2,0.161,0.5,0.3
73,Humanoid,FNC,MID,2.2,2.3,3.3,4.8,0,6,2,0.623,14,2.3,29,4.8,20,3.3,397.8,9.5,565,0.257,735,0.228,0.3,0.3
74,Oscarinin,FNC,TOP,2,2,3.5,4.8,0,6,2,0.594,12,2,29,4.8,21,3.5,355.3,7.6,373.8,0.17,762.6,0.237,0.3,0.2
75,Myrwn,MDK,TOP,2,1.9,3.3,4.8,0,10,5,0.515,19,1.9,48,4.8,33,3.3,352.8,7.4,440.8,0.188,820.8,0.242,0.3,0.1
76,Moham,DK,SUP,1.9,0.4,5.1,9.2,0,9,3,0.769,4,0.4,83,9.2,46,5.1,237.9,1.1,149.6,0.068,561,0.164,2.2,0.5
77,Fresskowy,MDK,MID,1.9,2.7,3.4,3.8,1,10,5,0.5,27,2.7,38,3.8,34,3.4,399,9,566.3,0.242,561.6,0.165,0.4,0.2
78,Kingen,DK,TOP,1.8,1.6,3.5,4.6,1,9,3,0.504,15,1.6,42,4.6,32,3.5,367.2,7.8,483.5,0.221,710.7,0.208,0.3,0.1
79,Mikyx,G2,SUP,1.8,0.6,5.6,9.3,0,8,3,0.701,5,0.6,75,9.3,45,5.6,244.7,1,122.5,0.054,596.8,0.163,2.2,0.5
80,Lucid,DK,JUG,1.7,1.8,4.5,6,0,9,3,0.628,17,1.8,54,6,41,4.5,309.1,5.5,278.8,0.127,1076.7,0.315,0.5,0.3
81,Bwipo,FLY,TOP,1.7,2.1,4.1,4.8,1,14,7,0.56,30,2.1,68,4.8,58,4.1,385,8.4,515.7,0.222,1007.4,0.303,0.4,0.2
