Index,Player,Position,KDA,MVP,Appearances,Wins,Teamfight Participation Rate,Kills,Average Kills per Game,Assists,Average Assists per Game,Deaths,Average Deaths per Game,Gold per Minute,Creep Score per Minute,Damage per Minute,Damage Share,Damage Taken per Minute,Damage Taken Share,Wards Placed per Minute,Wards Cleared per Minute
36,TitaN PNG,ADC,3.8 KDA: 3.3 / 2.3 / 5.4,3,12,5,71.40%,40,3.3,65,5.4,28,2.3,430.6,10.1,685.5,30.40%,527.5,15.60%,0.4,0.3
37,Zika LNG,TOP,3.8 KDA: 4.6 / 3.1 / 7.1,0,8,5,70.10%,37,4.6,57,7.1,25,3.1,436,8.7,553.7,24.40%,905,27.10%,0.4,0.1
38,UmTi TL,JUG,3.8 KDA: 2.4 / 2.4 / 6.6,2,10,5,69.20%,24,2.4,66,6.6,24,2.4,339.3,6.2,341.2,14.60%,1120.4,34.00%,0.4,0.3
39,LYONZ R7,SUP,3.7 KDA: 0.7 / 3.2 / 11.2,0,8,3,82.00%,6,0.7,90,11.2,26,3.2,235.9,1,154.8,6.10%,517.2,14.10%,1.6,0.4
40,Busio FLY,SUP,3.7 KDA: 1.0 / 2.5 / 8.0,0,14,7,73.10%,15,1,113,8,35,2.5,245.9,1.1,162.2,7.00%,411.8,12.30%,2,0.5
41,BrokenBlade G2,TOP,3.7 KDA: 3.3 / 2.5 / 5.8,2,8,3,64.90%,27,3.3,47,5.8,20,2.5,398.6,8.4,501.4,22.20%,849.5,23.30%,0.4,0.2
42,Creme TES,MID,3.6 KDA: 3.1 / 2.3 / 5.3,2,8,4,70.80%,25,3.1,43,5.3,19,2.3,389.6,8.5,682,29.90%,647.4,20.20%,0.4,0.3
43,CoreJJ TL,SUP,3.6 KDA: 0.8 / 2.9 / 9.7,1,10,5,80.70%,8,0.8,97,9.7,29,2.9,248.6,1,167,7.10%,418.2,12.60%,1.6,0.5
44,Zeka HLE,MID,3.6 KDA: 3.7 / 2.7 / 6.1,1,12,6,70.80%,45,3.7,74,6.1,33,2.7,419.3,9.5,673.1,28.70%,678.6,20.70%,0.4,0.3
45,Peanut HLE,JUG,3.6 KDA: 1.0 / 3.2 / 10.6,1,12,6,83.30%,12,1,128,10.6,39,3.2,319.8,5.9,291.3,12.40%,959.1,29.30%,0.4,0.5
46,Caps G2,MID,3.6 KDA: 2.3 / 2.7 / 7.5,0,8,3,69.20%,19,2.3,60,7.5,22,2.7,404.3,9.2,612,27.10%,701.1,19.20%,0.2,0.1
47,Supa MDK,ADC,3.6 KDA: 5.6 / 2.8 / 4.6,1,10,5,78.40%,56,5.6,46,4.6,28,2.8,460.2,10.1,833,35.60%,469.4,13.80%,0.3,0.3
48,Junjia PSG,JUG,3.5 KDA: 2.2 / 2.9 / 8.0,1,13,6,70.70%,29,2.2,104,8,38,2.9,342.1,6.5,336.2,13.60%,1176.1,36.60%,0.4,0.4
49,Tarzan WBG,JUG,3.5 KDA: 1.6 / 3.0 / 9.0,1,16,8,75.00%,26,1.6,145,9,49,3,315.7,5.6,342.8,14.90%,892.8,28.50%,0.5,0.3
50,Maple PSG,MID,3.4 KDA: 4.0 / 2.4 / 4.3,2,13,6,58.50%,53,4,57,4.3,32,2.4,418.9,9.3,637.9,25.90%,584,18.20%,0.4,0.2
51,JackeyLove TES,ADC,3.4 KDA: 4.0 / 2.6 / 5.0,2,8,4,75.00%,32,4,40,5,21,2.6,438.9,10.1,609.2,26.70%,389.8,12.10%,0.3,0.4
52,Crisp WBG,SUP,3.4 KDA: 0.4 / 3.2 / 10.6,0,16,8,77.60%,7,0.4,170,10.6,52,3.2,244,1.1,161.4,7.00%,499.7,15.90%,2.3,0.5
53,Ceo R7,ADC,3.3 KDA: 4.8 / 3.0 / 5.1,1,8,3,68.30%,39,4.8,41,5.1,24,3,417.7,8.8,682.4,26.90%,468.6,12.70%,0.5,0.2
54,Breathe WBG,TOP,3.3 KDA: 3.8 / 2.7 / 5.3,5,16,8,64.00%,61,3.8,85,5.3,44,2.7,416.1,8.3,535.7,23.30%,764.8,24.40%,0.4,0.2
55,Kiin GEN,TOP,3.3 KDA: 2.2 / 2.5 / 6.1,1,14,8,64.20%,31,2.2,86,6.1,35,2.5,379.6,8.3,514.1,22.10%,724.1,22.00%,0.4,0.1
56,Levi GAM,JUG,3.2 KDA: 2.9 / 2.9 / 6.5,3,12,7,66.80%,35,2.9,78,6.5,35,2.9,374.7,7.1,430,18.20%,1123,32.80%,0.3,0.4
57,Elio GAM,SUP,3.2 KDA: 0.5 / 3.0 / 9.0,0,12,7,68.00%,6,0.5,109,9,36,3,249.5,1.3,176.9,7.50%,493.2,14.40%,2.1,0.5
58,Delight HLE,SUP,3.2 KDA: 0.5 / 3.2 / 10.0,1,12,6,75.00%,6,0.5,120,10,39,3.2,242.3,1.3,144.4,6.10%,426.6,13.00%,1.9,0.5
59,WEI BLG,JUG,3.1 KDA: 1.0 / 4.0 / 11.3,0,3,1,82.20%,3,1,34,11.3,12,4,326.7,5.7,439.8,17.50%,1034.8,31.90%,0.4,0.4
60,Meiko TES,SUP,3.1 KDA: 0.3 / 3.1 / 9.3,0,8,4,81.20%,3,0.3,75,9.3,25,3.1,240.3,1.2,161.2,7.00%,463.3,14.40%,1.7,0.5
61,369 TES,TOP,3.1 KDA: 2.5 / 2.3 / 4.8,0,8,4,61.40%,20,2.5,39,4.8,19,2.3,374.8,8,513,22.50%,659.5,20.60%,0.3,0.1
62,ShowMaker DK,MID,3.1 KDA: 3.5 / 2.6 / 4.7,2,9,3,66.30%,32,3.5,43,4.7,24,2.6,390.4,8.4,622.7,28.40%,607.5,17.70%,0.5,0.3
63,Razork FNC,JUG,3.1 KDA: 2.0 / 3.1 / 7.8,1,6,2,85.50%,12,2,47,7.8,19,3.1,345.8,6.9,423.2,19.20%,926.9,28.80%,0.3,0.4
64,Hanssama G2,ADC,3.1 KDA: 4.7 / 3.1 / 4.8,0,8,3,67.50%,38,4.7,39,4.8,25,3.1,441.9,9.6,593.7,26.30%,474.3,13.00%,0.3,0.4
65,Dynquedo PNG,MID,3.0 KDA: 3.5 / 2.7 / 4.7,0,12,5,67.30%,42,3.5,57,4.7,33,2.7,396,8.6,584.8,25.90%,597.4,17.60%,0.4,0.2
66,Oddie R7,JUG,3.0 KDA: 1.7 / 3.7 / 9.3,0,8,3,76.00%,14,1.7,75,9.3,30,3.7,327.1,5.9,347.9,13.70%,1036.9,28.20%,0.2,0.2
67,Kuri PNG,SUP,2.9 KDA: 0.3 / 3.1 / 8.9,1,12,5,75.50%,4,0.3,107,8.9,38,3.1,234.6,1.1,206.2,9.10%,494.2,14.60%,2.1,0.3
68,River 100,JUG,2.9 KDA: 2.8 / 3.7 / 7.8,3,7,3,67.50%,20,2.8,55,7.8,26,3.7,361.9,6.5,558.8,20.00%,1218.2,31.30%,0.4,0.3
69,Jun FNC,SUP,2.9 KDA: 0.6 / 3.1 / 8.5,0,6,2,79.70%,4,0.6,51,8.5,19,3.1,235.4,1,151.2,6.80%,463.2,14.30%,1.7,0.4
70,Hang LNG,SUP,2.9 KDA: 0.6 / 4.2 / 11.6,0,8,5,73.10%,5,0.6,93,11.6,34,4.2,244.7,1.1,160.2,7.00%,461.4,13.80%,2,0.5
71,Doran HLE,TOP,2.9 KDA: 3.1 / 3.0 / 5.5,0,12,6,61.90%,38,3.1,66,5.5,36,3,387.3,8.3,443.6,18.90%,759.5,23.20%,0.4,0.2
72,Alvaro MDK,SUP,2.8 KDA: 0.4 / 3.6 / 9.6,1,10,5,76.90%,4,0.4,96,9.6,36,3.6,247.1,1.2,163,6.90%,582.6,17.10%,1.8,0.5
73,Quid 100,MID,2.8 KDA: 4.1 / 3.7 / 6.1,0,7,3,64.80%,29,4.1,43,6.1,26,3.7,415.6,8.9,835.8,29.90%,660.5,17.00%,0.4,0.3
74,Wizer PNG,TOP,2.7 KDA: 4.0 / 2.7 / 3.4,0,12,5,60.50%,48,4,41,3.4,33,2.7,391.4,8.3,470.4,20.90%,742.2,21.90%,0.4,0.2
75,Eyla 100,SUP,2.7 KDA: 0.8 / 4.1 / 10.2,0,7,3,70.20%,6,0.8,72,10.2,29,4.1,249.5,1,191.1,6.80%,506.4,13.00%,1.5,0.4
76,Sniper 100,TOP,2.7 KDA: 3.4 / 3.1 / 5.0,0,7,3,53.10%,24,3.4,35,5,22,3.1,363.8,7.1,442.1,15.80%,999.9,25.70%,0.3,0.1
77,ON BLG,SUP,2.7 KDA: 0.5 / 3.7 / 9.6,0,20,13,66.50%,10,0.5,193,9.6,74,3.7,247.5,1.2,148.7,6.00%,467.8,15.00%,2.2,0.5
78,CarioK PNG,JUG,2.6 KDA: 1.0 / 3.5 / 7.9,1,12,5,73.40%,13,1,95,7.9,42,3.5,309.4,5.6,302.8,13.40%,1017.7,30.10%,0.4,0.4
79,Summit R7,TOP,2.6 KDA: 2.0 / 3.1 / 6.0,0,8,3,54.70%,16,2,48,6,25,3.1,395.5,8.8,563.4,22.20%,1080.8,29.40%,0.3,0.3
80,Lehends GEN,SUP,2.5 KDA: 0.5 / 3.7 / 8.8,0,14,8,71.90%,7,0.5,124,8.8,53,3.7,240.2,1,170.9,7.30%,485.9,14.80%,2.1,0.4
81,Impact TL,TOP,2.5 KDA: 2.5 / 2.9 / 4.7,0,10,5,55.30%,25,2.5,47,4.7,29,2.9,384.4,7.7,467.1,20.10%,758.6,23.00%,0.4,0.1
82,APA TL,MID,2.4 KDA: 3.5 / 3.2 / 4.2,1,10,5,59.20%,35,3.5,42,4.2,32,3.2,413.9,9,610.8,26.30%,532.2,16.10%,0.5,0.3
83,Humanoid FNC,MID,2.2 KDA: 2.3 / 3.3 / 4.8,0,6,2,62.30%,14,2.3,29,4.8,20,3.3,397.8,9.5,565,25.70%,735,22.80%,0.3,0.3
84,Gury VKE,JUG,2.2 KDA: 1.0 / 3.2 / 6.0,0,4,0,73.60%,4,1,24,6,13,3.2,331,6.8,496.6,23.60%,991.7,27.20%,0.6,0.4
85,Oscarinin FNC,TOP,2.0 KDA: 2.0 / 3.5 / 4.8,0,6,2,59.40%,12,2,29,4.8,21,3.5,355.3,7.6,373.8,17.00%,762.6,23.70%,0.3,0.2
86,Myrwn MDK,TOP,2.0 KDA: 1.9 / 3.3 / 4.8,0,10,5,51.50%,19,1.9,48,4.8,33,3.3,352.8,7.4,440.8,18.80%,820.8,24.20%,0.3,0.1
87,Moham DK,SUP,1.9 KDA: 0.4 / 5.1 / 9.2,0,9,3,76.90%,4,0.4,83,9.2,46,5.1,237.9,1.1,149.6,6.80%,561,16.40%,2.2,0.5
88,Fresskowy MDK,MID,1.9 KDA: 2.7 / 3.4 / 3.8,1,10,5,50.00%,27,2.7,38,3.8,34,3.4,399,9,566.3,24.20%,561.6,16.50%,0.4,0.2
89,Kingen DK,TOP,1.8 KDA: 1.6 / 3.5 / 4.6,1,9,3,50.40%,15,1.6,42,4.6,32,3.5,367.2,7.8,483.5,22.10%,710.7,20.80%,0.3,0.1
90,Mikyx G2,SUP,1.8 KDA: 0.6 / 5.6 / 9.3,0,8,3,70.10%,5,0.6,75,9.3,45,5.6,244.7,1,122.5,5.40%,596.8,16.30%,2.2,0.5
91,Lucid DK,JUG,1.7 KDA: 1.8 / 4.5 / 6.0,0,9,3,62.80%,17,1.8,54,6,41,4.5,309.1,5.5,278.8,12.70%,1076.7,31.50%,0.5,0.3
92,Bwipo FLY,TOP,1.7 KDA: 2.1 / 4.1 / 4.8,1,14,7,56.00%,30,2.1,68,4.8,58,4.1,385,8.4,515.7,22.20%,1007.4,30.30%,0.4,0.2
93,Kati VKE,MID,1.7 KDA: 3.7 / 4.0 / 3.0,0,4,0,71.00%,15,3.7,12,3,16,4,420.8,9.7,501.4,23.90%,573.7,15.70%,0.3,0.3
94,Shogun VKE,ADC,1.6 KDA: 1.7 / 3.2 / 3.5,0,4,0,55.20%,7,1.7,14,3.5,13,3.2,412.2,10.2,528.4,25.10%,515.2,14.10%,0.4,0.2
95,Evi SHG,TOP,1.5 KDA: 1.5 / 3.7 / 4.0,0,4,0,59.40%,6,1.5,16,4,15,3.7,341.6,7.8,591.6,26.30%,883.9,23.20%,0.3,0.1
96,Vsta SHG,SUP,1.5 KDA: 1.2 / 4.0 / 4.7,0,4,0,64.80%,5,1.2,19,4.7,16,4,227.3,1,227.5,10.10%,558.8,14.70%,1.4,0.4
97,Bie VKE,SUP,1.4 KDA: 0.5 / 4.2 / 5.5,0,4,0,63.10%,2,0.5,22,5.5,17,4.2,218.9,1.1,158.5,7.50%,504.1,13.80%,2,0.5
98,Dasher SHG,MID,1.4 KDA: 2.7 / 3.7 / 2.5,0,4,0,56.70%,11,2.7,10,2.5,15,3.7,371.1,8.6,543.8,24.20%,677,17.80%,0.5,0.2
99,Marble SHG,ADC,1.4 KDA: 1.7 / 3.5 / 3.2,0,4,0,54.00%,7,1.7,13,3.2,14,3.5,372.7,9.4,584.4,26.00%,420.2,11.00%,0.3,0.1
100,Nanaue VKE,TOP,1.1 KDA: 2.5 / 4.7 / 2.5,0,4,0,52.60%,10,2.5,10,2.5,19,4.7,345.6,7.1,412.6,19.60%,1050,28.80%,0.3,0.1
101,Forest SHG,JUG,1.0 KDA: 2.0 / 6.2 / 4.0,0,4,0,64.80%,8,2,16,4,25,6.2,322.7,6.4,296.6,13.20%,1254,33.00%,0.3,0.2
