Index,Player,Team,Position,KDA,Kill,Death,Assist,MVP,Appearances,Wins,Teamfight Participation Rate,Kills,Average Kills per Game,Assists,Average Assists per Game,Deaths,Average Deaths per Game,Gold per Minute,Creep Score per Minute,Damage per Minute,Damage Share,Damage Taken per Minute,Damage Taken Share,Wards Placed per Minute,Wards Cleared per Minute
26,Zoom,KB,TOP,3.4,3.9,3.2,7.1,6,23,17,0.594,90,3.9,164,7.1,74,3.2,441,9.2,683.5,0.246,1015.3,0.263,0.4,0.1
27,LetMe,BGM,TOP,3.4,2.7,2.6,6,1,20,10,0.573,55,2.7,121,6,52,2.6,373.6,7.7,510.1,0.212,727.3,0.212,0.3,0.1
28,KaKAO,SG,JUG,3.3,3.5,3.3,7.3,2,23,13,0.7,81,3.5,169,7.3,76,3.3,352.5,6.1,404.7,0.157,1091.1,0.3,0.3,0.3
29,Duan,M3,SUP,3.3,0.7,3.2,9.9,0,23,11,0.722,17,0.7,228,9.9,75,3.2,248.7,1.3,199.4,0.082,475.4,0.147,1.9,0.6
30,Fireloli,OP,SUP,3,1.3,4.1,11.3,1,22,11,0.727,30,1.3,250,11.3,92,4.1,260,1.2,234.2,0.083,564.5,0.149,2,0.4
31,XuanXuanPi,BGM,SUP,3,1,3.7,10.1,1,20,10,0.726,20,1,203,10.1,75,3.7,253.8,1.3,172.4,0.071,528.8,0.154,2,0.3
32,Heart,SG,SUP,2.9,0.4,4.1,11.4,0,23,13,0.767,11,0.4,263,11.4,96,4.1,239.7,0.9,159,0.062,540,0.148,1.4,0.2
33,Avoidless,M3,JUG,2.8,1.6,3.2,7.6,1,23,11,0.628,37,1.6,176,7.6,75,3.2,323.8,6.1,305,0.125,938.7,0.29,0.3,0.4
34,Gimgoon,BYG,TOP,2.7,2.8,3.7,7.2,1,20,11,0.578,57,2.8,145,7.2,74,3.7,366.9,7.4,543.4,0.208,843.3,0.237,0.3,0.1
35,Uzi,GM,ADC,2.6,7.1,5,6,6,19,7,0.753,135,7.1,115,6,96,5,491.3,10.5,937.7,0.337,713.5,0.18,0.3,0.3
36,Ming,GM,SUP,2.6,1.5,5,11.7,0,19,7,0.759,29,1.5,223,11.7,96,5,268.7,1.1,258.1,0.092,632.1,0.159,1.6,0.4
37,Westdoor,GM,MID,2.3,3.7,4.3,6.1,0,19,7,0.569,72,3.7,117,6.1,82,4.3,365.7,6.9,639.1,0.23,672.8,0.17,0.3,0.1
38,Duke,OP,TOP,2.3,1.8,3.3,5.9,1,22,11,0.446,41,1.8,131,5.9,74,3.3,361.7,7.6,455.2,0.162,874.9,0.231,0.2,0.1
39,Xinyi,GM,JUG,2.2,3.1,4.8,7.8,1,19,7,0.629,59,3.1,150,7.8,93,4.8,347.1,5.8,414.2,0.149,1079.1,0.272,0.2,0.4
40,Gogoing,GM,TOP,1.9,1.9,4.7,6.8,0,19,7,0.503,37,1.9,130,6.8,90,4.7,331.3,6.5,526.1,0.189,857.4,0.216,0.4,0
